Name,Organization
Betty Rebellato,Canadian Wildlife Federation (CWF)
Nick Mazany-Wright,Canadian Wildlife Federation
Nicolas Lapointe,Canadian Wildlife Federation
Sarah Sra,Canadian Wildlife Federation
Anthonie Knevel,Department of Fisheries and Oceans Canada (DFO)
Guy Scharf,Department of Fisheries and Oceans Canada
Teri Ridley,Department of Fisheries and Oceans Canada
Simon Norris,Hillcrest Geographics
Brian Englund,Horsefly River Roundtable (HRR)
Helen Englund,Horsefly River Roundtable
Judy Hillaby,Horsefly River Roundtable
Dave Maloney,"Ministry of Forests, Lands and Natural Resource Operations "
John Walker,Williams Lake First Nation
Nishitha Singi,Williams Lake First Nation
